,Round_6_Hoosier_R25B_18x7p5_10_on_7in_12psi_PAC02_UM4.csv
0,1.0
1,-1.0812571186937752
2,N/A
3,2.8624964272589932
4,-0.0
5,-0.5050754439573693
6,N/A
7,-0.09350251829590674
8,-1.0345182056519924
9,-6.997287594432949e-06
10,-0.1185697549716737
11,1.2724148316119546
12,0.6565979245033362
13,10.406781657406503
14,0.07958044143868946
15,0.5572131117570704
16,0.5180829335071138
17,1.0750121562156771
18,-1.0757707190128558
19,36.129469415011144
20,2.6730348445992047
